Disorder 	OMIM	IEM ID	Test panel	Symptom	Measured in	HMDB	Uniprot	Mapping ChEBI	Neonatal (birth-1mth)	Infancy (1-18mths)	Childhood (1.5-11yrs)	Adolescence (11-16yrs)	Adulthood (>16yrs)	Present in pathway	Characteristic for disorder	Protein_HGNC_name
N-Acetylglutamate synthase deficiency	https://www.omim.org/entry/237310	IEMBASE000012	Amino acids	Arginine	Plasma	HMDB0000517		1	-1	-1	-1	-1	-1	Y	1	NAGS
N-Acetylglutamate synthase deficiency	https://www.omim.org/entry/237310	IEMBASE000012	Amino acids	Citrulline	Plasma	HMDB0000904		1	-3	-2	-2	-2	-2	Y	1	NAGS
N-Acetylglutamate synthase deficiency	https://www.omim.org/entry/237310	IEMBASE000012	Amino acids	Glutamine	Cerebrospinal fluid	HMDB0000641		1	3	3	3	2	2	Y	1	NAGS
N-Acetylglutamate synthase deficiency	https://www.omim.org/entry/237310	IEMBASE000012	Amino acids	Glutamine	Plasma	HMDB0000641		1	3	3	3	2	2	Y	1	NAGS
N-Acetylglutamate synthase deficiency	https://www.omim.org/entry/237310	IEMBASE000012	Purines and pyrimidines	Orotic acid	Urine	HMDB0000226		1	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	N	0	NAGS
N-Acetylglutamate synthase deficiency	https://www.omim.org/entry/237310	IEMBASE000012	Routine tests	Ammonia	Blood	HMDB0000051		1	3	3	3	3	3	Y	1	NAGS
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Amino acids	Arginine	Plasma	HMDB0000517		1	-1	-1	-1	-1	-1	Y	1	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Amino acids	Citrulline	Plasma	HMDB0000904		1	-3	-2	-2	-2	-2	Y	1	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Amino acids	Glutamine	Cerebrospinal fluid	HMDB0000641		1	3	3	3	2	2	Y	1	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Amino acids	Glutamine	Plasma	HMDB0000641		1	3	3	3	2	2	Y	1	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Amino acids	Homocitrulline	Urine	HMDB0000679		1	1	1	1	1	1	N	1	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Amino acids	Argininosuccinate	Urine	HMDB0000052		1	n	n	n	n	n	Y	0	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Enzyme testing	ASAT/ALAT	Plasma		P17174,  P24298	0	n to 1	n to 1	n to 1	n to 1	n to 1	N	0	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Purines and pyrimidines	Orotic acid	Urine	HMDB0000226		1	n to 2	n to 2	n to 2	n to 2	n to 2	N	0	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Routine tests	Ammonia	Blood	HMDB0000051		1	3	3	3	3	3	Y	1	OTC
Ornithine transcarbamylase deficiency	https://www.omim.org/entry/311250	IEMBASE000013	Routine tests	Urea	Plama	HMDB0000294		1	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	Y	0	OTC
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Amino acids	Arginine	Plasma	HMDB0000517		1	-1	-1	-1	-1	-1	Y	1	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Amino acids	Citrulline	Plasma	HMDB0000904		1	2	3	3	3	3	Y	1	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Amino acids	Citrulline	Urine	HMDB0000904		1	2	3	3	3	3	Y	1	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Amino acids	Glutamine	Cerebrospinal fluid	HMDB0000641		1	3	3	2	2	2	Y	1	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Amino acids	Glutamine	Plasma	HMDB0000641		1	3	3	2	2	2	Y	1	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Amino acids	Argininosuccinate	Urine	HMDB0000052		1	n	n	n	n	n	Y	0	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Enzyme testing	ASAT/ALAT	Plasma		P17174,  P24298	0	1	1	1	n	n	N	0	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Purines and pyrimidines	Orotic acid	Urine	HMDB0000226		1	n to 1	n to 1	n to 1	n to 1	n to 1	N	0	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Routine tests	Ammonia	Blood 	HMDB0000051		1	3	3	3	3	3	Y	1	ASS1
Citrullinemia type I	https://www.omim.org/entry/215700	IEMBASE000014	Routine tests	Urea	Plasma	HMDB0000294		1	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	Y	0	ASS1
Arginase deficiency	https://www.omim.org/entry/207800	IEMBASE000016	Amino acids	Arginine	Plasma	HMDB0000517		1	n to 1	2	2	2	2	Y	1	ARG1
Arginase deficiency	https://www.omim.org/entry/207800	IEMBASE000016	Amino acids	Glutamine	Plasma	HMDB0000641		1	1	1	1	1	1	Y	1	ARG1
Arginase deficiency	https://www.omim.org/entry/207800	IEMBASE000016	Amino acids	Citrulline	Plasma	HMDB0000904		1	n to 1	n to 1	n to 1	n to 1	n to 1	Y	0	ARG1
Arginase deficiency	https://www.omim.org/entry/207800	IEMBASE000016	Enzyme testing	ASAT/ALAT	Plasma		P17174,  P24298	0	n to 1	n to 1	n to 1	n to 1	n to 1	N	0	ARG1
Arginase deficiency	https://www.omim.org/entry/207800	IEMBASE000016	Purines and pyrimidines	Orotic acid	Urine	HMDB0000226		1	n to 1	n to 1	n to 1	n to 1	n to 1	N	0	ARG1
Arginase deficiency	https://www.omim.org/entry/207800	IEMBASE000016	Routine tests	Ammonia	Blood	HMDB0000051		1	n to 1	1	1	1	1	Y	1	ARG1
Arginase deficiency	https://www.omim.org/entry/207800	IEMBASE000016	Routine tests	Urea	Plasma	HMDB0000294		1	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	Y	0	ARG1
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Amino acids	Homocitrulline	Urine	HMDB0000679		1	2	2	2	2	2	N	1	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Amino acids	Ornithine	Plasma	HMDB0000214		1	n to 1	2	2	2	2	Y	1	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Amino acids	Arginine	Plasma	HMDB0000517		1	n	n	n	n	n	Y	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Amino acids	Citrulline	Plasma	HMDB0000904		1	n	n	n	n	n	Y	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Amino acids	Glutamine	Plasma	HMDB0000641		1	n to 1	n to 1	n to 1	n to 1	n to 1	Y	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Enzyme testing	ASAT/ALAT	Plasma		P17174,  P24298	0	1	1	1	1	1	N	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Functional testing	14C-Ornithine incorporation	Fibroblasts			0	-1	-1	-1	-1	-1	N	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Guanidino compounds	Creatine	Plasma	HMDB0000064		1	n	-1 to n	-1 to n	-1 to n	-1 to n	N	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Purines and pyrimidines	Orotic acid	Urine	HMDB0000226		1	n to 1	n to 1	n to 1	n to 1	n to 1	N	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Routine tests	Ammonia	Blood	HMDB0000051		1	2	2	2	2	2	Y	1	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Routine tests	Urea	Plasma	HMDB0000294		1	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	Y	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Specific tests	Factor VII	NA	HMDBP02013	P08709	0	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	N	0	SLC25A15
Ornithine transporter deficiency	https://www.omim.org/entry/238970	IEMBASE000017	Specific tests	Factor X	NA	HMDBP02011	P00742	0	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	N	0	SLC25A15
Carbamoyl phosphate synthetase I deficiency	https://www.omim.org/entry/237300	IEMBASE000011	Amino acids	Arginine	Plasma	HMDB0000517		1	-1	-1	-1	-1	-1	Y	1	CPS1
Carbamoyl phosphate synthetase I deficiency	https://www.omim.org/entry/237300	IEMBASE000011	Amino acids	Citrulline	Plasma	HMDB0000904		1	-3	-2	-2	-2	-2	Y	1	CPS1
Carbamoyl phosphate synthetase I deficiency	https://www.omim.org/entry/237300	IEMBASE000011	Amino acids	Glutamine	Cerebrospinal fluid	HMDB0000641		1	3	3	3	2	2	Y	1	CPS1
Carbamoyl phosphate synthetase I deficiency	https://www.omim.org/entry/237300	IEMBASE000011	Amino acids	Glutamine	Plasma	HMDB0000641		1	3	3	3	2	2	Y	1	CPS1
Carbamoyl phosphate synthetase I deficiency	https://www.omim.org/entry/237300	IEMBASE000011	Amino acids	Argininosuccinate	Urine	HMDB0000052		1	n	n	n	n	n	Y	0	CPS1
Carbamoyl phosphate synthetase I deficiency	https://www.omim.org/entry/237300	IEMBASE000011	Purines and pyrimidines	Orotic acid	Urine	HMDB0000226		1	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	N	0	CPS1
Carbamoyl phosphate synthetase I deficiency	https://www.omim.org/entry/237300	IEMBASE000011	Routine tests	Ammonia	Blood	HMDB0000051		1	3	3	3	3	3	Y	1	CPS1
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Amino acids	Arginine	Plasma 	HMDB0000517		1	1	1	1	1	1	Y	1	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Amino acids	Citrulline	Plasma	HMDB0000904		1	n to 2	n to 2	n to 2	2	2	Y	1	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Amino acids	Glutamine	Plasma	HMDB0000641		1	n to 1	n to 1	n to 1	n to 1	n to 1	Y	1	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Amino acids	Glutamine	Cerebrospinal fluid	HMDB0000641		1	n to 1	n to 1	n to 1	1	1	Y	0	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Amino acids	Methionine	Plasma	HMDB0033951		1	1	1	1	1	1	N	0	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Amino acids	Threonine	Plasma	HMDB0000167		1	1	1	1	1	1	N	0	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Amino acids	Tyrosine	Plasma	HMDB0000158		1	1	1	1	1	1	N	0	SLC25A13
