Biomarker	Mapping	HMDB	Maps to ChEBI	ChEBI	Correct ChEBI	Charge ChEBI	Second ChEBI	InCHI key 1	InCHI key 2	InCHI H=C	InCHI C=NC	Charge InCHI
Thymine	Y	HMDB0000262	1	CHEBI:17821	1	CHEBI:17821	0	RWQNBRDOKXIBIV-UHFFFAOYSA-N	YQHWOOLBIREPRR-VZUYHUTRSA-N	1	1	RWQNBRDOKXIBIV-UHFFFAOYSA-N
Uracil	Y	HMDB0000300	1	CHEBI:17568	1	CHEBI:17568	0	ISAKRJDGNUQOIC-UHFFFAOYSA-N	PRFVPHBJWNBZBM-GGCSAXROSA-N	1	1	ISAKRJDGNUQOIC-UHFFFAOYSA-N
Uridine monophosphate synthase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orotic acid	N	HMDB0000226	1	CHEBI:16742	1	CHEBI:30839	0	PXQPEWDEAKTCGB-UHFFFAOYSA-N	NA	1	0	PXQPEWDEAKTCGB-UHFFFAOYSA-M
Thymidine phosphorylase 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deoxyuridine	Y	HMDB0000012	1	CHEBI:16450	1	CHEBI:16450	0	MXHRCPNRJAMMIM-SHYZEUOFSA-N	NA	1	1	MXHRCPNRJAMMIM-SHYZEUOFSA-N
Thymidine 	Y	HMDB0000273	1	CHEBI:17748	1	CHEBI:17748	0	IQFYYKKMVGJFEH-XLPZGREQSA-N	KHUMAHPJNTVTEQ-DXQCBLCSSA-N	1	1	IQFYYKKMVGJFEH-XLPZGREQSA-N
Lactate	Y	HMDB0001311	1	CHEBI:42111	1	CHEBI:42111	CHEBI:341	JVTAAEKCZFNVCJ-UWTATZPHSA-N	QEZSBZVSKOAXLD-QWRJABQPSA-N	1	1	JVTAAEKCZFNVCJ-UWTATZPHSA-N
Cysteine	Y	HMDB0000574	1	CHEBI:17561	1	CHEBI:17561	0	XUJNEKJLAYXESH-REOHCLBHSA-N	RHAPAPIBUKZRIS-OIVUAWODSA-N	1	1	XUJNEKJLAYXESH-REOHCLBHSA-N
Creatine kinase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Respiratory chain activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dihydrothymine 	Y	HMDB0000079	1	CHEBI:27468	1	CHEBI:27468	0	NBAKTGXDIBVZOO-UHFFFAOYSA-N	NA	1	1	NBAKTGXDIBVZOO-UHFFFAOYSA-N
Dihydrouracil 	Y	HMDB0000076	1	CHEBI:15901	1	CHEBI:15901	0	OIVLITBTBDPEFK-UHFFFAOYSA-N	NA	1	1	OIVLITBTBDPEFK-UHFFFAOYSA-N
Beta-alanine	N	HMDB0000056	1	CHEBI:16958	1	CHEBI:57966	0	UCMIRNVEIXFBKS-UHFFFAOYSA-N	NA	1	1	UCMIRNVEIXFBKS-UHFFFAOYSA-N
N-Carbamyl-?-alanine	N	HMDB0000026	1	CHEBI:18261	1	CHEBI:11892	0	JSJWCHRYRHKBBW-UHFFFAOYSA-N	NA	1	0	JSJWCHRYRHKBBW-UHFFFAOYSA-M
N-Carbamyl-?-aminoisobutyric acid	N	HMDB0002031	1	CHEBI:1670	1	CHEBI:74414	0	PHENTZNALBMCQD-UHFFFAOYSA-N	NA	1	0	PHENTZNALBMCQD-UHFFFAOYSA-M
?-aminoisobutyrate	N	HMDB0002299	1	CHEBI:16320	1	CHEBI:57731	0	QCHPKSFMDHPSNR-GSVOUGTGSA-N	SEEODKKLZYCEIB-DTSDQNDWSA-N	1	1	QCHPKSFMDHPSNR-GSVOUGTGSA-N
Uridine monophosphate synthase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orotidine	Y	HMDB0000788	1	CHEBI:25722	1	CHEBI:25722	0	FKCRAVPPBFWEJD-XVFCMESISA-N	HRXAVJKDKMTYCO-IONAWPRUSA-N	1	1	FKCRAVPPBFWEJD-XVFCMESISA-N
