Biomarker	Mapping	HMDB	Maps to ChEBI	ChEBI	Correct ChEBI	Charge ChEBI	Second ChEBI	InCHI key 1	InCHI key 2	InCHI H=C	InCHI C=NC	Charge InCHI
Arginine	N	HMDB0000517	1	CHEBI:16467	1	CHEBI:32682	0	ODKSFYDXXFIFQN-BYPYZUCNSA-N	NA	1	0	ODKSFYDXXFIFQN-BYPYZUCNSA-O
Citrulline	N	HMDB0000904	1	CHEBI:16349	1	CHEBI:57743	0	RHGKLRLOHDJJDR-BYPYZUCNSA-N	NA	1	1	RHGKLRLOHDJJDR-BYPYZUCNSA-N
Glutamine	N	HMDB0000641	1	CHEBI:18050	1	CHEBI:58359	0	ZDXPYRJPNDTMRX-VKHMYHEASA-N	NA	1	1	ZDXPYRJPNDTMRX-VKHMYHEASA-N
Orotic acid	Y	HMDB0000226	1	CHEBI:16742	1	CHEBI:30839	0	PXQPEWDEAKTCGB-UHFFFAOYSA-N	NA	1	0	PXQPEWDEAKTCGB-UHFFFAOYSA-M
Ammonia 	N	HMDB0000051	1	CHEBI:16134	1	CHEBI:28938	0	QGZKDVFQNNGYKY-UHFFFAOYSA-N	VAZBISUYQWTZRM-YZMWRMHMSA-N	1	0	QGZKDVFQNNGYKY-UHFFFAOYSA-O
Homocitrulline	Y	HMDB0000679	1	CHEBI:17443	1	CHEBI:17443	0	XIGSAGMEBXLVJJ-YFKPBYRVSA-N	KFBJTXCSEVPXCO-NGOJWKRASA-N	1	1	XIGSAGMEBXLVJJ-YFKPBYRVSA-N
Argininosuccinate 	N	HMDB0000052	1	CHEBI:15682	1	CHEBI:57472	0	KDZOASGQNOPSCU-WDSKDSINSA-N	HBSYLTAILZADIG-HOMNMMCZSA-N	1	0	KDZOASGQNOPSCU-ZBHICJROSA-M
ASAT/ALAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Urea	Y	HMDB0000294	1	CHEBI:16199	1	CHEBI:16199	0	XSQUKJJJFZCRTK-UHFFFAOYSA-N	NA	1	1	XSQUKJJJFZCRTK-UHFFFAOYSA-N
Creatine	N	HMDB0000064	1	CHEBI:16919	1	CHEBI:57947	0	CVSVTCORWBXHQV-UHFFFAOYSA-N	KHVONBKUVUQQDK-DYVQZXGMSA-N	1	1	CVSVTCORWBXHQV-UHFFFAOYSA-N
Factor VII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Factor X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methionine	Y	HMDB0033951	1	CHEBI:16811	1	CHEBI:16811	0	FFEARJCKVFRZRR-UHFFFAOYSA-N	NA	1	1	FFEARJCKVFRZRR-UHFFFAOYSA-N
Threonine	Y	HMDB0000167	1	CHEBI:16857	1	CHEBI:16857	0	AYFVYJQAPQTCCC-GBXIJSLDSA-N	BPPYHXUEXAIJOT-AXFIPLKASA-N	1	1	AYFVYJQAPQTCCC-GBXIJSLDSA-N
Tyrosine	Y	HMDB0000158	1	CHEBI:17895	1	CHEBI:17895	0	OUYCCCASQSFEME-QMMMGPOBSA-N	DWLARZRWGAGTHA-USYZEHPZSA-N	1	1	OUYCCCASQSFEME-QMMMGPOBSA-N
Galactose	Y	HMDB0000143	1	CHEBI:28061	1	CHEBI:28061	0	WQZGKKKJIJFFOK-PHYPRBDBSA-N	NA	1	1	WQZGKKKJIJFFOK-PHYPRBDBSA-N
