Dutch name	Database name	ID	0m-1m L	0m-1m U	1m-6m L	1m-6m U	6m-1y L	6m-1y U	1y-2y L	1y-2y U	2y-4y L	2y-4y U	4y-10y L	4y-10y U	10y-18y L	10y-18y U	18y+ L	18y+ U	HMDB
s-sulfocysteine	S-sulfocysteine	CHEBI:27891	0	8	0	13	0	8	0	8.1	0	4	0	3	0	2	0	2	HMDB0000731
taurine	Taurine	CHEBI:15891	8.4	979.3	21.9	1126.7	7	714.4	4.1	606.5	6	492	6.3	276.7	6.1	242.8	3	160.5	HMDB0000251
fosfoethanolamine	Phosphoethanolamine	CHEBI:17553	0	58.4	0	47.6	0	43.3	0	44.8	0	21.9	0	15	0	11	0	6	HMDB0000224
asparaginezuur	Aspartic Acid	CHEBI:17053	0	16.6	0	24.1	0	18.5	0	15.3	0	10.9	0	5	0	3.9	0	6	HMDB0000191
hydroxyproline	Hydroxyproline	CHEBI:18095	12.2	422.4	8.2	394.2	0	32.8	0	18.6	0	7	0	3	0	2.9	0	4.1	HMDB0000725
threonine	Threonine	CHEBI:16857	13.1	189.8	13.3	231.6	5.5	140.8	7.9	79	6	87.2	5	55.4	5	46	2	42.1	HMDB0000167
serine	Serine	CHEBI:17115	15.6	443.8	2	430.8	7.3	246.2	33.5	189.2	21	186.1	18	105	10.5	84.6	1	65.9	HMDB0000187
asparagine	Asparagine	CHEBI:17196	0.2	106.3	4.9	146.2	0	129	3	67.5	3.1	79.1	4	54.5	2.1	53	1	32.1	HMDB0000168
glutaminezuur	Glutamic acid	CHEBI:18237	1	33.1	0	36.1	2.1	21.4	0	20.5	2	16.9	0.3	8.7	0.1	7	1	10	HMDB0000148
glutamine	Glutamine	CHEBI:58359	26.2	345.5	48.5	473.7	53.1	333.4	35.1	286.6	32	265.1	25	171.7	21	124	6	90.3	HMDB0000641
sarcosine	Sarcosine	CHEBI:15611	0	18.8	0	19.1	0	10	0	6.2	0	6	0	2	0	1.9	0	1	HMDB0000271
alfa-amino-adipinezuur	2-Aminoadipic acid	CHEBI:37024	1.8	61.3	6.2	84.1	5.3	69.9	2	53.5	2	48.9	2	21.7	1.1	13	1	11	HMDB0000510
proline	Proline	CHEBI:17203	7.2	197.9	4.8	117.3	0.6	20.4	0.9	26.2	1	14.7	0	6.7	0	3	0	6.1	HMDB0000162
glycine	Glycine	CHEBI:15428	162.2	1773.7	171.2	1528.6	97.2	787.7	52.8	775.8	58.2	722.7	50.3	493.3	44.6	494.9	20.9	445.1	HMDB0000123
alanine	Alanine	CHEBI:16977	31.8	334.7	51.7	411.8	19.3	245.1	19	184	13.1	182.4	9.6	106	8.1	97.4	7	72.1	HMDB0000161
citrulline	Citrulline	CHEBI:57743	0	11.6	0	9.7	0	5.4	0	6.1	0	5.9	0	2.7	0	2	0	2	HMDB0000904
alfa-aminoboterzuur	AABA	CHEBI:35621	0	7	0	12.7	0	6.4	0	8.2	0	6	0	5	0	3.9	0	2	
valine	Valine	CHEBI:16414	2.1	26.4	1.4	29.7	1.9	22.5	1.9	23.1	3	19.9	2	14.4	2	7	1	7	HMDB0000883
cystine	Cystine	CHEBI:16283	2	73.8	2	47.8	1.2	22.8	0	17.2	2	10.9	2	12.7	1.1	8	1	9	HMDB0000192
saccharopine	Saccharopine	CHEBI:16927	0	9.5	0	8	0	4.8	0	9.1	0	3.9	0	2	0	1.9	0	1	HMDB0000279
pipecolinezuur	Pipecolic acid	CHEBI:30913	0	28.4	0	21	0	14.8	0	10	0	14	0	10.7	0	8.9	0	9	HMDB0000070
homocitrulline	Homocitrulline	CHEBI:58148	0	87.1	0	51.6	0	38	0	28.4	1	20	0	11	0	7	0	6	HMDB0000679
methionine	Methionine	CHEBI:16811	0	8	0	8	0	8	0	6.1	0	5	0	3	0	2	0	2	HMDB0033951
allo-isoleucine	Allo-Isoleucine	CHEBI:43433	0	3	0	3	0	1.8	0	1.1	0	1	0	1	0	1	0	1	HMDB0000557
cystathionine	Cystathionine	CHEBI:17482	1	37.1	0	25.1	0	9.1	0	9	0	7	0	6.7	0	4	0	6.1	HMDB0000099
isoleucine	Isoleucine	CHEBI:17191	0.2	12.1	0	17.3	0	8.4	0	9	0	6	0	4	0	2	0	2.1	HMDB0000172
